"@timestamp","route_info.vid","route_info.location","route_info.timestamp"
"Apr 18, 2023 @ 21:02:19.993",DL1PC9997,"POINT (77.203868 28.644295)","Apr 18, 2023 @ 21:02:08.000"
"Apr 18, 2023 @ 21:01:10.598",DL1PC9997,"POINT (77.204411 28.642118)","Apr 18, 2023 @ 21:00:55.000"
"Apr 18, 2023 @ 20:59:20.488",DL1PC9997,"POINT (77.202439 28.636513)","Apr 18, 2023 @ 20:59:04.000"
"Apr 18, 2023 @ 20:58:20.000",DL1PC9997,"POINT (77.203636 28.635085)","Apr 18, 2023 @ 20:58:04.000"
"Apr 18, 2023 @ 20:57:17.976",DL1PC9997,"POINT (77.208348 28.633633)","Apr 18, 2023 @ 20:56:54.000"
"Apr 18, 2023 @ 20:56:17.703",DL1PC9997,"POINT (77.209736 28.633486)","Apr 18, 2023 @ 20:55:54.000"
"Apr 18, 2023 @ 20:55:05.987",DL1PC9997,"POINT (77.215204 28.633322)","Apr 18, 2023 @ 20:54:44.000"
"Apr 18, 2023 @ 20:53:20.502",DL1PC9997,"POINT (77.218645 28.630125)","Apr 18, 2023 @ 20:53:04.000"
"Apr 18, 2023 @ 20:51:39.945",DL1PC9997,"POINT (77.222092 28.628335)","Apr 18, 2023 @ 20:51:30.000"
"Apr 18, 2023 @ 20:50:20.477",DL1PC9997,"POINT (77.223872 28.625395)","Apr 18, 2023 @ 20:50:10.000"
"Apr 18, 2023 @ 20:48:48.196",DL1PC9997,"POINT (77.226532 28.621407)","Apr 18, 2023 @ 20:48:30.000"
"Apr 18, 2023 @ 20:47:19.838",DL1PC9997,"POINT (77.22927 28.616414)","Apr 18, 2023 @ 20:47:10.000"
"Apr 18, 2023 @ 20:46:17.637",DL1PC9997,"POINT (77.227851 28.611336)","Apr 18, 2023 @ 20:46:00.000"
"Apr 18, 2023 @ 20:45:18.152",DL1PC9997,"POINT (77.230568 28.609596)","Apr 18, 2023 @ 20:45:00.000"
"Apr 18, 2023 @ 20:43:47.839",DL1PC9997,"POINT (77.239894 28.609011)","Apr 18, 2023 @ 20:43:30.000"
"Apr 18, 2023 @ 20:42:43.454",DL1PC9997,"POINT (77.239091 28.606855)","Apr 18, 2023 @ 20:42:30.000"
"Apr 18, 2023 @ 20:41:23.353",DL1PC9997,"POINT (77.238911 28.600186)","Apr 18, 2023 @ 20:41:10.000"
"Apr 18, 2023 @ 20:40:21.975",DL1PC9997,"POINT (77.242981 28.59413)","Apr 18, 2023 @ 20:40:10.000"
"Apr 18, 2023 @ 20:39:20.532",DL1PC9997,"POINT (77.244566 28.592014)","Apr 18, 2023 @ 20:39:10.000"
"Apr 18, 2023 @ 20:37:57.785",DL1PC9997,"POINT (77.246343 28.589092)","Apr 18, 2023 @ 20:37:40.000"
"Apr 18, 2023 @ 20:36:23.227",DL1PC9997,"POINT (77.249365 28.585017)","Apr 18, 2023 @ 20:36:10.000"
"Apr 18, 2023 @ 20:35:20.549",DL1PC9997,"POINT (77.25111 28.583063)","Apr 18, 2023 @ 20:35:10.000"
"Apr 18, 2023 @ 20:34:20.477",DL1PC9997,"POINT (77.251778 28.58285)","Apr 18, 2023 @ 20:34:10.000"
"Apr 18, 2023 @ 20:33:10.035",DL1PC9997,"POINT (77.25298 28.58393)","Apr 18, 2023 @ 20:33:00.000"
"Apr 18, 2023 @ 20:32:01.692",DL1PC9997,"POINT (77.253333 28.586435)","Apr 18, 2023 @ 20:31:49.000"
"Apr 18, 2023 @ 20:30:51.865",DL1PC9997,"POINT (77.253148 28.586721)","Apr 18, 2023 @ 20:30:39.000"
"Apr 18, 2023 @ 20:29:20.437",DL1PC9997,"POINT (77.253117 28.586693)","Apr 18, 2023 @ 20:29:09.000"
"Apr 18, 2023 @ 20:28:19.916",DL1PC9997,"POINT (77.253135 28.586703)","Apr 18, 2023 @ 20:28:09.000"
"Apr 18, 2023 @ 20:27:18.828",DL1PC9997,"POINT (77.253205 28.586626)","Apr 18, 2023 @ 20:26:59.000"
